city,state,averageTempMonthly,month,lat,lon,averageAQIMonthly,mainPollutantMonthly,AQI category,averagePrecipitationMonthly,averageWindSpeedMonthly
Philadelphia,PA,22,September,39.9526,-75.1652,57,PM2.5,Moderate,5,13
Phoenix,AZ,33,September,33.4484,-112.074,77,PM10,Moderate,0,10
Portland,OR,19,September,45.5155,-122.6793,40,Ozone,Good,1,9
Raleigh,NC,23,September,35.7796,-78.6382,41,Ozone,Good,4,7
Richmond,VA,22,September,37.5407,-77.436,40,Ozone,Good,4,10
San Francisco,CA,18,September,37.7749,-122.4194,54,PM2.5,Good,0,13
Seattle,WA,16,September,47.6062,-122.3321,42,Ozone,Good,2,6
State College,PA,17,September,40.7934,-77.86,36,Ozone,Good,3,6
"Washington, D.C.",DC,23,September,38.9072,-77.0369,46,Ozone,Good,3,12
Athens,GA,17,October,33.9519,-83.3576,46,PM2.5,Good,1,7
Baltimore,MD,18,October,39.2904,-76.6122,37,Ozone,Good,0,14
Boston,MA,15,October,42.3601,-71.0589,38,Ozone,Good,1,14
Chapel Hill,NC,17,October,35.9132,-79.0558,35,Ozone,Good,1,6
Charlotte,NC,18,October,35.2271,-80.8431,43,Ozone,Good,0,8
Chicago,IL,14,October,41.8781,87.6298,50,PM2.5,Good,2,15
Cleveland,OH,15,October,41.4993,-81.6944,45,PM2.5,Good,3,19
Dallas,TX,21,October,32.7767,-96.797,50,Ozone,Good,9,13
Denver,CO,11,October,39.7392,-104.9903,52,Ozone,Good,0,12
Detroit,MI,12,October,42.3314,-83.0458,51,PM2.5,Moderate,1,15
Greensboro,NC,16,October,36.0726,-79.7915,40,Ozone,Good,1,8
Houston,TX,23,October,29.7604,-95.3698,59,Ozone,Moderate,2,17
Ithaca,NY,12,October,42.444,-76.5019,32,Ozone,Good,3,11
Kahului,HI,25,October,20.889,-156.4743,10,PM2.5,Good,0,16
Los Angeles,CA,20,October,34.0522,-118.2437,84,Ozone,Moderate,0,4
Madison,WI,11,October,43.0731,-89.4012,33,PM2.5,Good,2,12
Miami,FL,27,October,25.7617,-80.1918,51,Ozone,Good,4,11
Minneapolis,MN,10,October,44.9778,-93.265,38,PM2.5,Good,3,12
New York City,NY,17,October,40.7128,-74.006,43,PM2.5,Good,2,9
Orlando,FL,24,October,28.5383,-81.3792,43,Ozone,Good,1,12
Philadelphia,PA,16,October,39.9526,-75.1652,48,PM2.5,Good,0,11
Phoenix,AZ,28,October,33.4484,-112.074,87,PM10,Moderate,0,9
Portland,OR,14,October,45.5155,-122.6793,43,PM2.5,Good,2,8
Raleigh,NC,17,October,35.7796,-78.6382,38,Ozone,Good,1,6
Richmond,VA,17,October,37.5407,-77.436,37,Ozone,Good,1,9
San Francisco,CA,17,October,37.7749,-122.4194,48,PM2.5,Good,0,10
Seattle,WA,12,October,47.6062,-122.3321,47,PM2.5,Good,2,6
State College,PA,12,October,40.7934,-77.86,34,Ozone,Good,1,8
"Washington, D.C.",DC,17,October,38.9072,-77.0369,40,Ozone,Good,0,11
Athens,GA,11,November,33.9519,-83.3576,53,PM2.5,Moderate,1,8
Baltimore,MD,10,November,39.2904,-76.6122,39,PM2.5,Good,2,15
Boston,MA,6,November,42.3601,-71.0589,36,Ozone,Good,1,17
Chapel Hill,NC,11,November,35.9132,-79.0558,38,PM2.5,Good,1,7
Charlotte,NC,11,November,35.2271,-80.8431,46,PM2.5,Good,2,7
Chicago,IL,7,November,41.8781,87.6298,50,PM2.5,Good,0,15
Cleveland,OH,8,November,41.4993,-81.6944,48,PM2.5,Good,1,20
Dallas,TX,14,November,32.7767,-96.797,52,PM2.5,Moderate,0,11
Denver,CO,5,November,39.7392,-104.9903,52,Ozone,Good,0,10
Detroit,MI,5,November,42.3314,-83.0458,56,PM2.5,Good,0,16
Greensboro,NC,10,November,36.0726,-79.7915,36,PM2.5,Good,1,8
Houston,TX,17,November,29.7604,-95.3698,50,PM2.5,Good,3,15
Ithaca,NY,3,November,42.444,-76.5019,31,Ozone,Good,2,13
Kahului,HI,25,November,20.889,-156.4743,15,PM2.5,Good,0,19
Los Angeles,CA,18,November,34.0522,-118.2437,65,PM2.5,Moderate,0,4
Madison,WI,4,November,43.0731,-89.4012,32,PM2.5,Good,1,12
Miami,FL,25,November,25.7617,-80.1918,38,Ozone,Good,7,12
Minneapolis,MN,3,November,44.9778,-93.265,40,PM2.5,Good,0,12
New York City,NY,9,November,40.7128,-74.006,45,PM2.5,Good,1,10
Orlando,FL,21,November,28.5383,-81.3792,39,Ozone,Good,4,12
Philadelphia,PA,8,November,39.9526,-75.1652,53,PM2.5,Moderate,2,12
Phoenix,AZ,21,November,33.4484,-112.074,72,PM10,Moderate,0,8
Portland,OR,9,November,45.5155,-122.6793,56,PM2.5,Moderate,4,10
Raleigh,NC,11,November,35.7796,-78.6382,43,PM2.5,Good,1,7
Richmond,VA,9,November,37.5407,-77.436,40,PM2.5,Good,1,9
San Francisco,CA,14,November,37.7749,-122.4194,50,PM2.5,Moderate,0,9
Seattle,WA,7,November,47.6062,-122.3321,59,PM2.5,Moderate,3,6
State College,PA,5,November,40.7934,-77.86,37,Ozone,Good,1,10
"Washington, D.C.",DC,10,November,38.9072,-77.0369,42,PM2.5,Good,2,11
Athens,GA,9,December,33.9519,-83.3576,46,PM2.5,Good,3,8
Baltimore,MD,8,December,39.2904,-76.6122,39,PM2.5,Good,5,13
Boston,MA,5,December,42.3601,-71.0589,39,PM2.5,Good,4,15
Chapel Hill,NC,10,December,35.9132,-79.0558,35,PM2.5,Good,6,7
Charlotte,NC,9,December,35.2271,-80.8431,43,PM2.5,Good,5,9
