Date,Overall AQI Value,Main Pollutant,Ozone,PM25,CO,PM10,NO2,AQI category,city,state,Temperature,Precipitation,Wind Speed
2023-06-28,35,Ozone,35.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,16.6,1.7,9.4
2023-06-29,64,Ozone,64.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,18.9,2.6,4.8
2023-06-30,84,Ozone,84.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,21.7,0.5,9.3
2023-07-01,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,22.9,9.3,14.3
2023-07-02,42,Ozone,42.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,21.9,12.8,6.0
2023-07-03,34,Ozone,34.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,21.6,22.2,5.6
2023-07-04,42,Ozone,42.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,22.7,3.8,9.5
2023-07-05,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,23.6,3.3,6.2
2023-07-06,47,Ozone,47.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,25.7,2.7,9.3
2023-07-07,43,Ozone,43.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,22.4,1.9,6.1
2023-07-08,40,Ozone,40.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,21.4,0.0,4.7
2023-07-09,32,Ozone,32.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,20.5,12.6,9.3
2023-07-10,34,Ozone,34.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.4,1.9,7.7
2023-07-11,54,Ozone,54.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,21.8,1.7,6.3
2023-07-12,43,Ozone,43.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,21.5,3.1,4.2
2023-07-13,41,Ozone,41.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,23.2,21.6,12.9
2023-07-14,39,Ozone,39.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,21.6,3.6,5.7
2023-07-15,45,Ozone,45.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,24.2,0.0,8.4
2023-07-16,39,Ozone,39.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,22.9,3.5,10.7
2023-07-17,42,Ozone,42.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,22.6,0.3,8.8
2023-07-18,41,Ozone,41.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,21.1,20.1,6.9
2023-07-19,38,Ozone,38.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.9,0.3,5.0
2023-07-20,51,Ozone,51.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,21.7,0.8,10.6
2023-07-21,43,Ozone,43.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.3,6.4,12.5
2023-07-22,35,Ozone,35.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.8,0.0,9.3
2023-07-23,39,Ozone,39.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,20.7,0.0,7.3
2023-07-24,48,Ozone,48.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,20.2,2.6,11.3
2023-07-25,40,Ozone,40.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.8,0.6,4.3
2023-07-26,51,Ozone,51.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,23.0,9.8,10.9
2023-07-27,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,23.8,5.6,12.8
2023-07-28,41,Ozone,41.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,24.7,0.0,7.7
2023-07-29,33,Ozone,33.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,21.5,5.8,9.6
2023-07-30,31,Ozone,31.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,17.4,3.2,9.9
2023-07-31,26,Ozone,26.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,16.3,4.0,8.6
2023-08-01,31,Ozone,31.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,16.1,0.0,6.8
2023-08-02,36,Ozone,36.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,17.5,0.0,9.3
2023-08-03,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,21.4,0.0,14.2
2023-08-04,45,Ozone,45.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,22.0,4.0,11.4
2023-08-05,33,Ozone,33.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.4,0.3,6.6
2023-08-06,39,Ozone,39.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,20.1,0.3,7.9
2023-08-07,32,Ozone,32.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,23.2,34.5,15.9
2023-08-08,29,Ozone,29.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,18.5,20.2,13.1
2023-08-09,35,Ozone,35.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,20.3,0.2,8.0
2023-08-10,34,Ozone,34.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,18.5,17.0,7.6
